Source,Target,Sigmoid
203666,28643625,0.9999999999981204
25126616,16241224,0.8807970779778823
15171934,3623050,0.7310585786300049
24560307,5932749,0.9999999992417439
2935735,4591033,0.999983298578152
9461481,28366058,0.9999999997210531
25537901,25538333,0.7310585786300049
4025121,16851127,0.8807970779778823
10969551,8711353,0.9933071490757153
24560307,13346571,0.999983298578152
1857825,2410676,0.8807970779778823
11421378,167174,0.9525741268224334
11421378,3955647,0.8807970779778823
8843683,1787757,0.7310585786300049
671825,729744,0.9999938558253978
17784299,21548299,0.7310585786300049
206084,26992831,0.7310585786300049
9530789,9325315,0.7310585786300049
9325315,9530789,0.9525741268224334
1801829,2649031,0.9525741268224334
11808187,5187096,0.7310585786300049
588600,71019,0.8807970779778823
9461481,7691631,0.9525741268224334
11589713,9461481,0.8807970779778823
11778024,16819795,0.8807970779778823
714074,14663768,0.8807970779778823
14159669,3623050,0.9975273768433653
19294390,9029977,0.7310585786300049
21357099,321278,0.7310585786300049
2081289,14448779,0.9996646498695336
10707658,16297763,0.9933071490757153
27022174,2476855,0.8807970779778823
8569918,9615328,0.8807970779778823
606956,128476,0.9933071490757153
28366058,7691631,0.9999938558253978
7786818,3038446,0.8807970779778823
17752746,3016562,0.8807970779778823
22521888,10616272,0.8807970779778823
238972,13347640,0.9933071490757153
13512328,11225014,0.7310585786300049
104937,27,0.7310585786300049
15601851,23899906,0.9820137900379085
2351391,2351384,0.7310585786300049
108278,15090814,0.8807970779778823
14981376,1181927,0.9999999997210531
2014929,1385122,0.7310585786300049
9403933,23198783,0.7310585786300049
8962829,14169882,0.9999998874648379
24835467,22187098,0.7310585786300049
5710178,5710341,0.8807970779778823
843222,654608,0.9990889488055994
27193779,3342055,0.999983298578152
9265294,206084,0.7310585786300049
1446467,2410676,0.9820137900379085
10969551,12296490,0.9820137900379085
8271291,14204295,0.9820137900379085
27494663,206084,0.8807970779778823
321278,4580780,0.9820137900379085
658518,1254497,0.8807970779778823
26399616,26119962,0.7310585786300049
7691631,23096959,0.9975273768433653
23096959,7691631,0.7310585786300049
7691631,20580498,0.8807970779778823
2893713,108278,0.8807970779778823
26992831,206084,0.7310585786300049
13739356,10037542,0.9996646498695336
28155823,18023059,0.9525741268224334
24336212,25104780,0.7310585786300049
1090311,24894912,0.9525741268224334
729744,671825,0.999999999994891
27494663,7691631,0.9933071490757153
11167738,28062827,0.9933071490757153
11617504,11924873,0.9525741268224334
238972,363387,0.7310585786300049
5721837,1419138,0.7310585786300049
28669836,17301522,0.9525741268224334
238972,1252,0.7310585786300049
7099729,2163263,0.9525741268224334
5373551,7480345,0.7310585786300049
168370,722201,0.8807970779778823
589584,616448,0.7310585786300049
12244838,4331833,0.7310585786300049
3447593,22942790,0.7310585786300049
1402936,4090287,0.7310585786300049
7691631,15693680,0.9999999943972036
21779020,3678731,0.8807970779778823
3557653,2968000,0.9525741268224334
20580498,7691631,0.9999546021312976
11412473,14238949,0.7310585786300049
2751199,2752522,0.8807970779778823
1090311,168370,0.9975273768433653
20929025,321278,0.7310585786300049
5048251,641512,0.7310585786300049
14204295,12584841,0.7310585786300049
28758778,1362490,0.7310585786300049
14225208,21449162,0.9990889488055994
23810532,9325315,0.7310585786300049
3198415,2228226,0.7310585786300049
6862780,143580,0.9975273768433653
20580498,15693680,0.7310585786300049
9534760,3214406,0.8807970779778823
26494782,17815037,0.7310585786300049
22873447,21129265,0.7310585786300049
1632976,658518,0.7310585786300049
24474126,3638964,0.9998766054240137
7691631,9461481,0.9975273768433653
488514,614070,0.8807970779778823
11452644,9996255,0.7310585786300049
19354917,3620194,0.7310585786300049
7961991,7968417,0.7310585786300049
24400684,25841126,0.7310585786300049
26715792,1725199,0.7310585786300049
28671602,734934,0.7310585786300049
17620347,14225208,0.9525741268224334
2055965,19390712,0.7310585786300049
2055965,20905275,0.7310585786300049
23407526,3214406,0.7310585786300049
17049596,1093228,0.7310585786300049
1332134,1157388,0.7310585786300049
16665655,929845,0.7310585786300049
16665655,3319769,0.8807970779778823
24664810,3214406,0.7310585786300049
25252102,15901046,0.7310585786300049
12048721,7760890,0.7310585786300049
15901046,25252102,0.8807970779778823
8710734,507775,0.9525741268224334
28834044,417389,0.7310585786300049
11167738,931039,0.7310585786300049
17950592,17930752,0.8807970779778823
8962829,3620194,0.7310585786300049
17089728,14712850,0.9525741268224334
9528819,1380117,0.7310585786300049
22187098,7764559,0.7310585786300049
1254497,2935735,0.9525741268224334
695611,12710059,0.7310585786300049
24669372,2932773,0.9820137900379085
1217614,3988342,0.9525741268224334
4007018,258750,0.7310585786300049
20004472,11921752,0.7310585786300049
658518,1385122,0.8807970779778823
5282596,5312648,0.8807970779778823
21388550,20897575,0.7310585786300049
21388550,20882845,0.7310585786300049
5216282,890377,0.9525741268224334
10270250,11667865,0.7310585786300049
5532320,7804910,0.999999999986112
2935735,12127251,0.8807970779778823
15045751,7691631,0.999997739675702
23487443,203666,0.7310585786300049
27193779,27196756,0.9975273768433653
1283503,19294390,0.7310585786300049
46939,167174,0.7310585786300049
585285,8792127,0.8807970779778823
16688238,21386310,0.9820137900379085
18219900,2293158,0.9933071490757153
2293158,13744591,0.9525741268224334
24560307,10270250,0.8807970779778823
4262493,2011783,0.9998766054240137
52287,13080550,0.8807970779778823
18453077,4039952,0.7310585786300049
128476,606956,0.8807970779778823
20260834,20260602,0.7310585786300049
20260602,20260834,0.7310585786300049
16630147,12310030,0.7310585786300049
26509369,29600667,0.9998766054240137
380961,1211978,0.8807970779778823
9615328,8569918,0.7310585786300049
12892263,13345709,0.7310585786300049
10642675,10350614,0.7310585786300049
1284185,7394347,0.8807970779778823
11667865,10270250,0.9525741268224334
19614228,11167738,0.7310585786300049
18065797,5710341,0.7310585786300049
14562056,13220460,0.7310585786300049
8514,28748876,0.7310585786300049
24894912,1090311,0.7310585786300049
7477865,5151909,0.9820137900379085
7691631,16607898,0.9525741268224334
11116372,597879,0.7310585786300049
10822741,3594497,0.7310585786300049
14474326,65252,0.7310585786300049
2055965,167174,0.8807970779778823
22700458,14712850,0.9820137900379085
2165383,2081289,0.7310585786300049
7673810,6907993,0.7310585786300049
447184,238972,0.9998766054240137
24835467,931039,0.9525741268224334
203666,16219318,0.9975273768433653
24835467,24560307,0.9525741268224334
890377,81384,0.9820137900379085
206084,11180687,0.7310585786300049
16219318,203666,0.7310585786300049
80571,8514,0.8807970779778823
13575283,455600,0.7310585786300049
1312351,14299077,0.7310585786300049
11396385,25652980,0.9525741268224334
714074,7467217,0.7310585786300049
10399273,4723248,0.8807970779778823
11581452,258750,0.7310585786300049
20558462,19745004,0.9525741268224334
14089735,27866077,0.7310585786300049
24560307,22187098,0.7310585786300049
3781859,943149,0.8807970779778823
5017825,478996,0.8807970779778823
13653550,4007018,0.7310585786300049
25136308,1200050,0.7310585786300049
7691631,28366058,0.9999999997210531
19360616,9787757,0.7310585786300049
843222,890377,0.7310585786300049
12225546,8665467,0.7310585786300049
14238949,9831101,0.7310585786300049
9831101,14238949,0.7310585786300049
5710848,21338881,0.7310585786300049
2300694,507,0.7310585786300049
13753636,6296790,0.7310585786300049
560495,27620277,0.7310585786300049
23403252,65252,0.7310585786300049
28257573,12446895,0.7310585786300049
12136863,11931032,0.9820137900379085
1385122,890377,0.7310585786300049
14089735,2476855,0.7310585786300049
22321368,1857825,0.8807970779778823
9325315,10045175,0.9525741268224334
28061676,11061773,0.9996646498695336
8629417,9403933,0.7310585786300049
4255988,3631697,0.8807970779778823
1252,614070,0.7310585786300049
28062827,11167738,0.9820137900379085
27193779,321278,0.9990889488055994
1372780,1020639,0.7310585786300049
2948949,3983388,0.8807970779778823
8665467,12225546,0.7310585786300049
16174770,17592572,0.7310585786300049
4110016,25274085,0.7310585786300049
25837286,3301400,0.7310585786300049
4164482,1431547,0.7310585786300049
18825519,3214406,0.9820137900379085
22527813,16152925,0.7310585786300049
611921,8514,0.9525741268224334
25661063,14089735,0.7310585786300049
