Source,Target,Sigmoid
64479681,28972890,0.8807970779778823
108533005,28972890,0.7310585786300049
81487759,28972890,0.7310585786300049
47472608,3638964,0.9990889488055994
63985235,38460192,0.8807970779778823
49286861,86362151,0.999999694097773
507775,764708,0.7310585786300049
507775,21394954,0.7310585786300049
79947965,40217027,0.7310585786300049
29620400,16241224,0.7310585786300049
17728164,93446075,0.9999999999999953
82572869,21704134,0.7310585786300049
33015583,45717250,0.8807970779778823
62091339,20580498,0.9996646498695336
41881900,20929025,1.0
12888993,15123510,0.7310585786300049
7789923,5918619,0.7310585786300049
98690441,20580498,0.7310585786300049
88211060,20580498,0.9975273768433653
65252,11980558,0.8807970779778823
18326574,109827462,0.8807970779778823
108840022,69914159,0.7310585786300049
40841283,23116127,0.8807970779778823
64417577,64347604,0.9525741268224334
5298790,44974513,0.9990889488055994
95970824,97380797,0.7310585786300049
65499703,16557832,0.8807970779778823
97380797,95970824,0.7310585786300049
667006,70169359,0.9820137900379085
57333709,53954979,0.7310585786300049
37144575,39487546,0.9525741268224334
35998691,9384267,0.7310585786300049
107591425,38307428,0.7310585786300049
42009758,86362151,0.8807970779778823
42009758,47658358,0.9820137900379085
791477,53175327,0.9525741268224334
99251094,16554739,0.9999999586006244
102137661,38488726,0.9525741268224334
47394776,27193779,0.7310585786300049
17728164,93444615,1.0
33653601,658518,0.9525741268224334
109827462,18326574,0.9525741268224334
4989235,641512,0.8807970779778823
58825797,15778981,0.9933071490757153
18327612,18326574,0.7310585786300049
88426738,28710753,0.8807970779778823
26628954,18997610,0.8807970779778823
102331882,997338,0.7310585786300049
17728164,93446117,0.7310585786300049
97890025,20490559,0.7310585786300049
101408117,53077478,1.0
596892,997338,0.9998766054240137
9503997,27193779,0.7310585786300049
107884371,52281283,0.7310585786300049
52281283,88913859,0.9525741268224334
36753839,321278,0.7310585786300049
51117837,45717250,0.9933071490757153
58535706,24031839,0.7310585786300049
22855240,93446042,0.7310585786300049
4802269,481872,0.7310585786300049
100542220,80783122,0.7310585786300049
3618133,9252268,0.9933071490757153
447184,238986,0.7310585786300049
74916356,33653601,0.7310585786300049
17728164,93446042,1.0
75629834,6093316,0.7310585786300049
48181728,24998719,0.7310585786300049
6093316,20929025,0.9999938558253978
6296790,66030306,0.9933071490757153
4253587,32652828,0.7310585786300049
64317924,62367558,0.7310585786300049
3678731,36891867,0.8807970779778823
109059304,29028775,0.9820137900379085
20789757,87439629,0.7310585786300049
46089560,23096959,0.8807970779778823
100562563,111995605,0.7310585786300049
45981801,38064932,0.7310585786300049
60161495,24063576,0.7310585786300049
31492490,29675401,0.9998766054240137
90312643,61140006,0.7310585786300049
20773773,27729880,0.8807970779778823
38064932,45981801,0.7310585786300049
23272510,20580498,0.7310585786300049
111030670,111033629,0.8807970779778823
57333709,112647343,0.8807970779778823
45148983,1147463,0.8807970779778823
30248289,16416867,0.7310585786300049
8966356,93444615,0.8807970779778823
86362151,49286861,0.9996646498695336
79269625,49286861,0.9999999999999065
59787605,29099181,0.8807970779778823
80786957,38066334,0.7310585786300049
49286861,47658358,0.9975273768433653
7910045,66146807,0.7310585786300049
5481861,75642389,0.7310585786300049
44694442,18055618,0.9990889488055994
63595359,65914086,0.9975273768433653
41359055,80149262,0.9820137900379085
67114199,10312708,0.7310585786300049
88426738,37489525,0.8807970779778823
11969507,8071542,0.9820137900379085
103442898,1385122,0.8807970779778823
39469487,96455695,0.9820137900379085
28964450,85178129,0.8807970779778823
46155786,3228505,0.9975273768433653
83786054,16256144,0.9975273768433653
21243212,11061773,0.7310585786300049
28782747,858127,0.7310585786300049
38764029,60648293,0.8807970779778823
56942570,53238813,0.7310585786300049
13221727,4704710,0.7310585786300049
24063576,40793484,0.8807970779778823
15045751,10247874,0.9996646498695336
30237090,52804695,0.7310585786300049
100531096,85083756,0.7310585786300049
85083756,100531096,0.7310585786300049
17928207,33634359,0.9525741268224334
5152285,4694994,0.7310585786300049
57939112,20580498,0.9999546021312976
42650211,791477,0.7310585786300049
49213884,68243930,0.9525741268224334
72495579,16752620,0.7310585786300049
91553810,24195339,0.9996646498695336
53954979,112655189,0.9999999997210531
1864233,1864194,0.9999938558253978
10097543,4859310,0.9999546021312976
31211061,23992530,0.7310585786300049
1739767,16147933,0.7310585786300049
60344592,41724213,0.7310585786300049
30969188,36535156,0.8807970779778823
8685799,28710753,0.9525741268224334
5532320,30035812,0.7310585786300049
63882194,20580498,0.7310585786300049
19989121,2948043,0.7310585786300049
20773773,221862,0.7310585786300049
52113921,10270250,0.7310585786300049
22376054,3301400,0.8807970779778823
66380570,37038121,0.9525741268224334
19799491,45712305,0.9525741268224334
